Listing Number,Interior,Public Remarks,Sold Price,List Price,Cumulative DOM,Street Name,Street #,Listing_eval
FX-10200568,3,"*VACANT* PRICED UNDER APPRAISED VALUE! Motivated Seller says Bring offers! Spacious 2/2 home in the guard gated Deer Creek community of Villa D'Este. This single story home features: 2011 Roof, new hot water heater, new electrical box, 2 car garage with fenced courtyard, volume ceilings, recessed lighting, laminate floors in living/dining area & bedrooms, tile floors in family room & kitchen, eat-in kitchen w/granite counters, new microwave, master bath with His & Her sinks, walk in shower & Roman tub and screened-in/covered patio. Community pool and clubhouse. Maintenance includes: lawn for front only, pest control, painting and security. Close to shopping, dining and highway. Pet friendly! See attachments.",350000,374999,267,Via Napoli,2960,over
RX-10584376,3,"This property is located in a quiet gated community just minutes away from local restaurants, Shopping malls, and entertainment in the heart of Boynton Beach. This lovely 2 story single-family home is equipped with 4 bedrooms, 3 bathrooms and a 2 car garage. It also includes a covered patio with a spacious fenced in backyard with plenty of space to build a pool. With A newly renovated master bathroom and list of new upgrades ($15,000 solar water heating system, Nest thermostat, camera security system, Ring doorbell system, garage door opener, light fixtures, and a new stove) it makes this home an amazing purchase that won't be around for long.",350000,360000,267,Citrus Park,85,correct
FX-10215154,3,BEAUTIFULLY UPGRADED !! Start packing and ready to move in....Gated community,350000,359900,157,46,10808,correct
RX-10605851,4,"Don't miss this  incredible beautifully updated 3 bedroom 2 1/2 bath home backing up to private preserve for total privacy.  Gorgeous remodeled kitchen has stainless steel appliances,s granite counter tops, & opens to family room.This home boasts elegance with Plantation shutters throughout and  newer wood look floors in the entire home.Large master bedroom with amazing walk-in custom closets. Roman Tub w/ separate shower. Completely updated Jack & Jill bathroom for 2nd & 3rd bedrooms .  The view from the screened in patio overlooking preserve is so tranquil & peaceful.                                                                                       This is a dream home with very low HOA fees that include security gate, pool, clubhouse, exercise room, tennis basketball and playground",350000,350000,120,Bermuda Sound,8331,under
RX-10606551,3,"What a water view!  This freshly painted, 3 bedroom, 2 1/2 bath home is in the great community of Colors, one of the Rainbow Lakes subdivisions, with a highly desirable school zone.  The beautiful, Granite kitchen was completely remodeled about 2 years ago.  There are tile floors throughout, except you will find new carpet in the Master Bedroom & Bedroom #2.  All bathrooms have been remodeled.  The entire backside of this home has a screened-in patio with a breathtaking water view & hot tub. Community amenities include a large, resort-style pool, tennis courts, a large playground area, & basketball area.  Hurry!  This home is ready for a quick closing.  Cable is included in the low HOA fee.  This is a pet friendly neighborhood.  Garage is screened-in, too with easy access in & out.",350000,365000,25,Tourmaline,8627,correct
RX-10606254,3,"Beautiful, Spacious 3 Bedrooms/2 Bath Single Family Home in the all-age, pet-friendly, gated community of Bel Aire in Delray Beach. Located in Boca Raton's top-rated school district.  Open Layout offers Vaulted Ceilings and Split Floor Plan and Kitchen with both breakfast and dining areas.  Master Suite has two walk-in closets and large bathroom with duel sinks, separate shower and tub. Two other bedrooms are on opposite side of the home.  Features include tile on the diagonal, laminate flooring, NO popcorn ceiling, laundry room, and 2-car garage with brand new door. The screened patio overlooks an extremely private garden area and canal ? no rear neighbors. 2 pets are welcome. A/C 2019, Water Heater 2015. Residents enjoy a community pool, clubhouse, tennis, billiards and fitness center.",350000,350000,80,Del Palacio,16505,under
RX-10610237,2,"Great opportunity! Perfect for end user or investor. CBS house in a prime Boca location just minutes from the Beach and I95. Spacious rooms with lots of light, large private fenced lot with beautiful pool. Plenty of room to park boat/RV. New roof & A/C, water heater. This is truly a diamond in the rough!",350000,374000,52,2nd,4051,over
RX-10611338,3,"Totally updated 4 bedroom  2 bath home with a saltwater pool with an outdoor oven and built in grill with a great patio space. Kitchen and bathrooms have been updated with stainless appliances and granite tops.  No HOA, totally fenced yard and of course a two car garage. Priced to sell quickly.",350000,369000,59,10th,340,over
RX-10610746,4,"BACK ON MARKET DUE TO COVID & YOU HAVE THE CHANCE TO OWN THIS HOME in Harbors @ Riverglen! APPRAISED AT LIST PRICE! This spacious 3 bedroom 2 bath home is ready for your and your family. The split floor plan includes formal living & dining as well as an open concept kitchen and family room. Your kitchen comes fully equipped with updated appliances, granite countertops, custom cabinets & breakfast bar with plenty of seating. The covered screened in patio makes this home perfect for indoor and outdoor entertaining & leads to your beautiful, yet private, outdoor area.
Your new home is located directly across from the clubhouse & pool which is perfect for families with children.
Located in the heart of Deerfield, this home is close to tons of restaurants and shopping. Don't miss out again!, ",350000,350000,20,45th,539,under
RX-10611969,3,"Wow! Four Spacious bedrooms, 2 baths,  POOL Home in Sandalfoot Cove! Circular driveway with pavers. Newer windows! Crown molding! Tile flooring throughout living area and laminate flooring in the master bedroom! Both bathrooms are updated & the master En Suite bathroom as a Jacuzzi tub! Fenced in backyard has covered area Plus pavered patio with a huge pool!  Inside laundry/utility room. Sandalfoot Cove has NO HOA fee. The fee is ZERO! Pet friendly community/all ages ok/no clubs to join. Amazing schools!",350000,349900,26,64th,22667,under
RX-10611995,3,"Investors welcome! Introducing 3/2 single family home with newer  S-tile roof and newer AC, brand new washer and dryer and solar panels for your Hot Water Heater!!! This property features an updated guest bathroom, 2 car garage, tiled floor, wood kitchen cabinets, SS appliances, an updated backyard with grass. Covered and screened outdoor patio with cedar ceiling  allows you to sit and enjoy the outdoor relaxation and also to use as a summer kitchen for cooking and entertaining, sip your morning coffee at your front screened patio. FloorPlan attached. Community has an outdoor pool and kids corner. Sun Valley is conveniently  located within minutes to major highways, restaurants and shopping. Low monthly HOA includes cable and internet. Excellent neighborhood and a great buy!",350000,358000,98,Majestic,9593,correct
FX-10224216,2,"Amazing 3 bedroom, 2 bathroom lakefront home in sought after Mission Bay gated community of Ventura. This home was just freshly painted inside and has all new carpeting in the bedrooms. Enjoy an open floor plan with 12 foot ceilings throughout, white kitchen with newer appliances overlooking breakfast nook and great room. Master Suite with his and hers built-in walk-in closets, separate tub and shower. Access your screened-in patio from your family room or your Master bedroom and enjoy the waterfront views and yard space for kids or pets to enjoy. The bones are here - 2015 AC, 2018 water heater & Dec. 2008 roof. Here you are within walking distance to Mission Bay's resort style clubhouse amenities (pool, gym, playground, tennis/basketball) as well as shopping, highways and A-rated schools!",350000,375000,40,Buena Ventura,10298,over
AX-10856354,4,"Beautiful home in Coral Springs, Forest Hill Community. The property is located on a cul-de-sac & features a front porch, screened in patio & large fenced in back yard big enough for a pool. The home has updated kitchen & bathrooms, tile & wood vinyl floors throughout, separate living, dining, & family areas, foyer, master bedroom en-suite, laundry room & 2 car garage. The home is in move in ready condition. Priced to sell & easy to show. Virtual Showings Available.",350000,344900,7,24th,9066,under
FX-10230448,3,"Fantastic home in highly sought area of Country Landings in Loggers Run. Home is light, bright and boosts pride of ownership. Some of the newer features are: New flooring & baseboards in bedrooms, living area & dining area. New blinds, fans & closet doors in bedrooms. New fans and screening on patio area. Updated vanity in guest bathroom. New washer/dryer and hot water heater. Freshly painted. The kitchen is beautiful with granite countertops, pass thru to patio and open concept to family room. Delightful, large back yard, side fence is new, includes childrens playhouse. There are no back neighbors, has a mango tree and is well maintained. Ck out community features at www.LoggersRun.org, playgrounds, tennis, picnic area, etc. Come live the Boca lifestyle today!",350000,355000,3,Summertrace,21392,correct
RX-10632474,4,"Welcome home to this beautiful single family pool home on an oversized lot in highly sought after American Homes/Southwind Lakes. This house is situated on a quiet cul-de-sac & has lots of bells & whistles. Brand new modern white kitchen with porcelain backsplash, quartz countertops, and stainless steel appliances. ceramic wood-look tile throughout, updated bathrooms,  fresh paint, smooth ceilings, newly diamond brited pool, new LED Smart lighting, and the list goes on. Roof is 2006 and a/c is 2012. This property has been well-maintained and is fully fenced w/ both a screened in pool, large green area, and lots of entertaining space!   A fabulous place to call home! Close to restaurant, shops, and A rated schools.",350000,350000,5,Colorado,9698,under
RX-10629185,4,"RARELY AVAILABLE AND HIGHLY SOUGHT AFTER 3/2 IN A+ RATED SCHOOL DISTRICT. BRAND NEW ROOF!!! METICULOUSLY MAINTAINED! RENOVATED KITCHEN HAS WOOD AND GRANITE WITH STAINLESS APPLIANCES. MASTER AND GUEST BATHS HAVE BEEN RENOVATED IN A GORGEOUS, CONTEMPORARY STYLE WITH FLOATING VANITIES AND NICE APPOINTMENTS. NO CARPET - NEUTRAL TILE THROUGHOUT MAIN LIVING AREAS AND MASTER AND LIGHT, WOOD-LIKE FLOORING IN THE SECONDARY BEDROOMS. GREAT STORAGE, HUGE MASTER CLOSET, WASHER AND DRYER, NEWER APPLIANCES, BEAUTIFUL LIGHT FIXTURES AND FANS, INCREDIBLE SOUTH EXPOSURE WITH OPEN AND SCREENED PATIO OVERLOOKING A BEAUTIFUL WATER VIEW. HIDDEN LAKE, IN BOCA CHASE, BOASTS ITS OWN SATELLITE POOL, LOW HOA FEES AND A GREAT WEST BOCA LOCATION! THIS IS A MUST SEE!!!",350000,349900,3,Lake Jasmine,10738,under
RX-10633136,4,"***Professional Pictures coming soon!***

Gorgeous 3 bed 2 bath home in the sought after community of Le Chalet. A rated schools and low hoa fees make this a very desirable location. This home is turn key with lots of recently updated upgrades! The back yard is spectacular with a custom outdoor kitchen, shed, privacy fence, salt pool, custom travertine pool deck, and landscaping lights. The inside of the home boasts plantation shutters throughout home, ss appliances, custom tile flooring, wide open living room, and so much more. Home has been recently painted inside and out and whole house is impact rated to include double hung designer impact windows. Brand New A/C unit with ecobee smart system. All upgrades completed within past 5 years!  ",350000,349000,4,Elaine,8443,under
RX-10635236,4,"Located in desirable Sandalfoot Cove, this single family residence is perfect for first time home buyer, growing family, or your FL vacation home.  Original owners have maintained and cared for this home for many years.  The kitchen will delight any gourmet cook!  Granite, state of the art appliances, range with hood, pot rack, and tons of pull outs for easy storage and organization.  High quality laminate in living areas and master.  Updated master bath and 2nd bath as well.  Crown molding throughout.  The air conditioned Florida room provides a quiet retreat after a long day at work.  And Imagine entertaining family and friends in the spacious backyard, fenced in for added privacy.  ",350000,359900,6,7th,8886,correct
RX-10630569,4,"Neutral colors and beautiful upgrades welcome you to this impeccably maintained single family home. Situated perfectly amongst long lake views and golf course greens, privacy is yours. Rarely available Teakwood model offering custom touches throughout. Plantation shutters, crown molding, warm wood floors,tile, remodeled kitchen with stainless appliances, gorgeous granite countertops and tons of cabinet space.  Large rooms and walk in closets are exactly what you are looking for. Peace of mind with a.c. and water heater new as of 2018.  Screened in Patio to enjoy all that Florida has to offer. Don't miss out on this opportunity to live in a gated community with low HOA fees and tons of amenities.",351000,349900,6,Ashton,7055,under
RX-10630139,4,"Stunning 3 bedrooms, 2 baths former model home. Vaulted ceilings with an open floor plan that flows from the elegant foyer to the spacious family and dining room into the designer kitchen with granite counter tops, tile back splash, wood cabinets and stainless steel appliances.   Master bedroom has a walk-in closet and sitting area. Master bath has a two sink vanity with makeup seating, custom lighting and a glass enclosed shower stall.  Two  bedrooms w/ bath complete this split plan. .Impact windows and doors.  20'' tile  throughout main areas, laminate flooring in bedrooms.  Secluded backyard with lush landscaping and room for a pool.  Brick pavers  in  entry, patio  &  driveway.  No HOA ! Bike to the beach, Close to Whole Foods, shopping, restaurants & Atlantic Ave.",351100,359999,11,Lucky,422,correct
RX-10582579,3,"Seller is ready to sell! Are you going to be the one to make the offer? $6.7 million is being invested in Osceola Park infrastructure by the CRA. Get in now! Built in 2007 w/ a metal roof, impact windows and a PVC fence this value add property is a great home or investment property. Think Lake Ida, the properties won't be this price in Osceola Park ever again.",352000,365000,146,7th,115,correct
RX-10597781,3,"$$$$ 6.7 million dollars are being invested into Osceola Park infrastructure in the next 2 years. Get in before the boom! 2007 construction with a metal roof, impact windows and PVC fence! This is the perfect home for anyone looking to be close to downtown but also have a neighborhood feel. No HOA to tell you what to do with your house. Bring all offers. Seller is MOTIVATED!",352000,370000,84,7th,119,correct
AX-10857989,3,"Fantastic home in one of the most desired neighborhoods in Boca, a rare find! Clean as a whistle and ready for occupancy. Split floorplan, vaulted ceilings, huge covered patio (could make a good addition), another large birdcage patio and screened in front porch. Both bathrooms were recently remodeled, new tile in bedrooms and livingroom. Eat in Kitchen with upgraded cabinets, pantry with pull outs. Lovely yard with fruit trees and avocado! Pets okay! No rear neighbors (backs to a Golf Course!). Hurricane impact windows and sliders. Maintenance free roof with special paint that never needs to be pressure cleaned. Fast closing possible.",352000,369900,14,Black Maple,21080,correct
AX-10892284,5,"BEAUTIFULLY UPGRADED 3 BED/ 2 BATH IN THE HEART OF COCONUT CREEK. LOCATED IN THE HIGHLY DESIRED GATED COMMUNITY OF LAKE WINDERMERE AT INDIGO LAKES. MOVE IN READY HOME WITH NEW BAMBOO FLOORS, UPDATED KITCHEN & BATHROOMS, BUILT IN CLOSETS, BRAND NEW WATER HEATER, FRESHLY PAINTED EXTERIOR, PRIVATE BACKYARD WITH SCREENED PATIO & MUCH MORE. EXCELLENT LOCATION WITH TOP RATED SCHOOLS- LESS THEN 2 MILES FROM THE PROMENADE AT COCONUT CREEK & EASY ACCESS TO THE THE SAWGRASS EXPY AND I95. HOA IS JUST $160/ MONTH WHICH INCLUDES SECURITY GATE, COMMON AREA, POOL, GYM & CABLE!",353000,349900,2,55th,4907,under
RX-10623772,5,"QUALITY NEW CONSTRUCTION 2020! This is the house you've been waiting for! 3 Bedroom 2 bath and NO HOA! New Impact windows and doors installed. Eye catching curb appeal inviting you into this beautiful opened floor plan with new wood plank tile flowing throughout the entire house. Brand new dream kitchen features Granite countertops, wood cabinets, soft close doors and drawers, and new fingerprint-resistant stainless steel appliances. The master retreat features a walk-in closet, a beautiful recessed ceiling design, and tons of natural light from sliders that lead out to a covered patio. In close proximity to , fine dinning, shopping and much more.",354000,360000,9,Buchanan,5069,correct
AX-10868389,4,"Beautifully remodeled 3/2 is ready to move in! Property features redone kitchen (quartz countertops, stainless steel appliances, new cabinetry), laminate wood and ceramic tile floors, updated second bathroom, newer A/C unit (3 years old), screened pavered patio area with tikibar, hurricane panels with all screws in tact and so much more. Great private location backs up to Lakeside Park and Tradewinds Elementary School. Close to shopping, parks, schools, major highways, golf courses and more. Make this your home today!",354999,354999,6,Flamingo,6521,under
RX-10530127,3,"Spacious 4 bedroom pool home in the quiet neighborhood of Golfview Harbour. Kitchen offers granite countertops, stainless steel appliances, wood cabinets, and  tray ceiling with wood accents. Eat-in kitchen with breakfast bar is open to family room. Separate formal dining room. Master bedroom has walk-in closet and door to direct pool area access. Ceramic tile throughout. Perfect home for entertaining. Roof replaced in 203. Hurricane impact windows throughout. Large screened patio surrounding 30x15 in-ground pool. Circular drive provides additional parking space. Great Location.",355000,370000,394,11th,2521,correct
FX-10191114,3,"Live in family friendly, tropical Delray Beach. Take a walk to intracoastal for morning coffee or have fun in the park across from your home. Take a short bike ride to downtown Delray Atlantic Ave, Beach, shopping and restaurants. Barbecue in the spacious back yard and enjoy the shade of various fruit trees. Welcome to this well appointed and fabulously updated home with plenty of lights, brand new stainless steel kitchen appliances and brand new washer and dryer. Tile floor throughout and hard wood floor in two rooms. Split floor plan with two bedrooms on one side and the master bedroom with an ensuite bathroom and bonus room on the other side.Worry free home with fire/burglar alarm system and a brand new roof.Endless possibilities as a vacation home, rental ready and more.",355000,399999,275,2nd,813,over
AX-10767005,4,"Built in 2018 lovely CBS home in a lovely neighborhood. Centrally located, walking distance to the Boynton Beach Mall, stores, church, and just minutes from the beach, I-95 and Florida Turnpike.Impacted windows, doors, quartz counter top and great location. There is a brand new 2018 -",355000,359000,241,Marlow,3529,correct
AX-10789049,2,"PRICE REDUCTION, PRICE TO SELL!!!!!Beautiful 3 bedrooms, 2 bath plus office, 2 car garage courtyard home with pool on an oversize corner lot. It features full impact windows and doors, fence in backyard, carpet and ceramic tile, recessed lighting, french doors, vaulted ceilings. Details include kitchen with granite countertops, wood cabinets and stainless steel appliances. Large master bedroom.Solar heater for pool. Impact garage door. Frosted glass impact side door. No homeowners association. This home is centrally located, close to highway, restaurants and mall. Make it yours today!",355000,359999,136,39th,11501,correct
RX-10598938,4,"Don't miss this 3 bedroom 2 1/2 bath 2 car garage home nestled in an East location only minutes to restaurants in Downtown Atlantic Ave and Ocean! Built in 2013. Features hurricane impact windows and doors. High ceilings. Open main floor plan. Modern kitchen cabinets, granite countertops. Walk-in closets in each room. Beautiful loft area. Second floor laundry. Fully private, paved and professionally landscaped backyard. HOA fees of $150 per month includes lawn care, tot lot, and resort style heated pool",355000,365000,110,Wolf Run,3651,correct
RX-10609373,4,"The moment you arrive you'll know this home is special.  Waterfront point lot featuring lush landscaping with east and south water views.  Updated interior with high ceilings, split bedroom plan with open family/kitchen room.  The wraparound patios on the water with its lush landscaping and privacy give this home a resort like setting.  A great place to come home to  and  for a staycation.  Located on the best waterfront lot in Citrus Park!  This gated community provides a private park like setting and close to everything.",355000,359000,45,Citrus Park,42,correct
RX-10614788,5,"Exceptional opportunity for an updated and meticulously maintained beautiful home in the desirable community of Lawrence Oaks! This spacious split floorplan has a living room off the gourmet eat-in kitchen in addition to another open living/dining room. Chef's kitchen features cherry cabinets, stainless appliances, granite countertops, tiled backsplash and a snack bar with neutral tile on the diagonal. Large master suite has a spacious walk-in closet, dual vanities and a glass frame shower. Crown molding & LED lighting throughout and ceiling fans in all rooms.  New 2018 concrete roof, vinyl privacy fenced in backyard, large screened patio, accordian shutters & Miami-Dade garage door. Close to shopping, dining, entertainment, major highways and airports. Come see your next home today!",355000,365000,48,Manor Forest,7876,correct
AX-10842791,5,"Welcome to your dream home in a quiet gated community. A fully renovated 4 bedroom 3 bath two-story house located in Coral Bay. This home has a grand entrance with high ceilings in the common living area. Spacious Master Bedroom with a walk-in closet, and en suite bathroom. Master bathroom has a spa shower, whirlpool jacuzzi tub, double sinks and LED mirrors. Kitchen features white shaker cabinets, stainless steel appliances, and an island with a built-in wine fridge. Waterproof laminate flooring throughout the home, Keyless Entry, plenty of storage room and a nice backyard. This gated community has many amenities which include rentable common room, Tennis Courts, Basketball Court, 3 Pools, a Light House and 2 Playgrounds. Close to schools, shoppingcenters and easy access to expressways.",355000,359900,0,Saltaire,6686,correct
RX-10629382,3,"WATERFRONT! Located in one of the community's nicest area overlooking Rainberry Lake, this home has it all.  Updated eat in kitchen, impact windows including sliders, and front door. The large wrap around screened patio (updated in 2018) is perfect for outdoor dining and entertaining. Nicely landscaped with fruit trees and tropical palms. Orchids would thrive here.
Build your own dock and navigate the private lake or neighboring Lake Ida. No age restrictions and pet friendly. Two pools, tennis courts, basket ball court, walking trails, and guarded gate. LOW HOA!!!! 3 miles from the beach and the popular Atlantic Avenue with it's array of restaurants and shops. See it now because this will go fast!",355000,355000,5,21st,1345,under
FX-10228468,3,"Ahhhhh welcome home to your piece of paradise. Nestled in the serene development of CocoBay, this home backs up to a private preserve with beautiful trees that provides peace and quiet. Kitchen has newer appliances from the refrigerator, stove, dishwasher and microwave! All have warranties! Vents have been cleaned and sealed to make breathing that much easier! Master bedroom boasts enough room for a sitting area and both bathrooms have new water efficiency toilets! Minutes from the Coconut Creek Promenade that offers some of the best restaurants, movie theaters and retail shops! Currently 3rd bedroom is being used as an office. Really does show bright and welcoming! Don't miss this chance to call this your home!",355000,359900,44,40th,6363,correct
RX-10623664,4,"Your home is waiting for you. The original owners are moving on, after showing so much pride in their ownership. The home features 3 bedrooms, 2 baths, 2 car garage in the beautiful Somerset Island Community in Lake Charleston. This home is updated throughout and includes a NEW roof (2020), AC with UV light, Electrical Panel, and Hot Water Heater were all updated in 2019. 

With a covered back patio to enjoy, while watching your kids and/or pets play in the fenced-in yard, you can go one step further and add your pool to the beautifully maintained landscaping to make your own oasis. With a great school system, this will be a great opportunity for you and your family to enjoy all that the Lake Charleston area has to offer. 

Please enjoy our 3D Matterport Tour",355000,360000,8,Winder,7288,correct
FX-10230559,2,"Location Location!! Very good Home located in a great neighborhood in Coral Springs limited with Parkland! The house have an Open concept living area, very good sizes rooms, two car garage and all the comfort looking for the starting families! Property is in very well take care conditions, protected with Impact Glass windows, Stainless steel appliances, Roof and A/C are working well, New Dishwasher, water heater and Washer/Dryer. Great schools and Elementary is located just across the street! This nice house is ready for your personal test upgrades if you want it but it is in move in conditions!! Must see it soon before is gone!!",355000,348500,35,Pine,5478,under
RX-10631754,3,"Beautiful 3 bedroom, 2 bath home in the very sought after Boca Springs neighborhood. Notice the volume ceilings and open floor plan the moment you walk through the door. Light and bright w/ tons of natural light. The kitchen is equipped w/ stainless steel appliances, bar, & breakfast nook. Tile and laminate floors flow throughout and into 3 large bedrooms. Your screened in patio opens up to your private backyard w/ plenty of room for a pool. The massive master bedroom includes a walk in closet and large master bath. A must see!
Beautifully landscaped, freshly painted, and a new AC. This family friendly neighborhood has a very LOW HOA, A plus schools, community pool, playground, basketball courts, and will not last long!
SEE IT TODAY!!!!",355000,340000,5,Country Brook,10049,under
AX-10878621,4,"BEAUTIFUL 4 BEDROOM 2.5 BATHROOM CORNER LOT HOME IN DESIRABLE GATED COMMUNITY OF CORAL BAY! HOME FEATURES GORGEOUS OPEN KITCHEN WITH GRANITE COUNTERTOPS, CHEFS HOOD, AND STAINLESS STEEL APPLIANCES. UPGRADED FLOORS THROUGHOUT THE HOME CONSIST OF PORCELAIN TILE DOWNSTAIRS AND A LIGHT WOOD LAMINATE UPSTAIRS. LARGE MASTER SUITE HAS DOUBLE DOOR ENTRY WITH WALK IN CLOSET AND HUGE MASTER BATH WITH DOUBLE VANITY SINKS, GLASS SHOWER, AND A ROMAN TUB. BACKYARD IS FULLY FENCED AND VERY PRIVATE. LARGE BACK PATIO HAS BEEN SCREENED IN MAKING IT THE PERFECT PLACE TO RELAX. HOME HAS FULL HURRICANE PROTECTION. GATED COMMUNITY WITH LOW HOA! USE LINK FOR VIRTUAL TOUR: https://www.zillow.com/view-3d-home/b83a474e-d7c5-4d0e-a2f6-1c7562d1229a?setAttribution=mls&wl=true",355000,375000,5,Flores Del Mar,6213,over
FX-10238080,2,"Great, single family home in large corner lot for sale in the desirable area of Coconut Creek! Impact windows! This property will not last! Located just minutes from major highways! Excellent school district! Family oriented neighborhood!",357000,385000,11,51st,5171,over
RX-10532995,2,"Located just minutes from downtown Boca and the beautiful Boca Raton beaches, this home offers all the best in Florida living. This open-concept home features a variety of designer details including bay window in great room, vaulted ceilings, parquet and tile flooring.  Large galley-style kitchen features vaulted ceiling, silestone countertops and ample cabinet space. Split floorplan features two owner's suites with large closets and oversized baths. Expansive Florida room provides a sheltered spot for additional seating, dining, Impact windows being installed, see Brokers note for more info. Double driveway leads to attached two-car garage with pull-down stairs to attic. Computerized sprinkler system and new AC in 2016.",357800,380000,386,Camino Real,800,over
RX-10605585,3,"What A Great Looking Property. This One Is Move In Ready. Custom Tile Flooring Everywhere. Kitchen Has Raised Panel Cabinets, Granite Counter Tops And Stainless Steel Appliances. Master bathroom IS Upgraded With Under Mount Sink And Quartz Vanity Top, Shower/Tub Combo. Out back We Have A Nice Covered Lanai With Summer Kitchen overlooking The Pool Area. Stop By And See This One Today. Welcome Home",358000,357900,82,Woodsong Court,11718,under
