Listing Number,Interior,Public Remarks,Sold Price,List Price,Cumulative DOM,Street Name,Street #,Listing_eval
AX-10859556,5,"This impeccably maintained, turn key ready, two-story, 3 bedroom, 2 1/2 bathroom TH in Addison Court at Wyndham Lakes is a MUST SEE!! NEW ROOF installed April 2020, Modern open concept floor plan with a fully updated kitchen with quartz countertops and newer wood cabinets. Updated wood flooring through out the living area. Equipped with 4 y/o high efficiency A/C and less than 2 y/o energy efficient water heater. Huge master bedroom with dual walk-in closets and tastefully updated bathroom. Spacious living room and formal dining room area. 1/2 bathroom recently remodeled.Fenced yard, hurricane shutters. Property located in gated community with community pool and great schools.",359999,359999,33,120th,5687,under
FX-10198047,3,"*BACK ON THE MARKET!! *PRICED TO SELL ; PASSED APPRAISAL!!* POOL HOME, NO HOA!! OVERSIZED CORNER LOT. BEST community and school district - walking distance to all schools, perfect for any family. ALL UPDATED, GOURGEOUS 3/2 home - OPENED LAYOUT. 2 car garage has been converted; easy to convert back. BRAND NEW AC UNIT (9/19), a private completely fenced back yard. Across the street from Coral Springs Regional Park and dog park. HUGE Florida room -perfect for entertainment. Most ceiling fans are new. Solar panels for energy efficiency and a cooling system in the attic that helps keep house cool. Roof approx 12 yrs old.",360000,349000,243,123rd,2893,under
RX-10579587,2,"MOTIVATED MOTIVATED SELLER!!  COME SEE THIS BEAUTIFUL COURT YARD HOME LOCATED IN GLF COLONY!  , RIGHT DOWN THE STREET FROM WESTCHESTER COUNTY PUBLIC GOLF COURSE THIS 2 BEDROOM/2 BATH WITH ADDITIONAL 3RD BEDROOM/3RD BATHROOM SEPARATE IN LAWS WITHIN COURT YARD..  PERFECT HOUSE FOR  LIVE IN AID/HOUSEKEEPER!  THIS HIGHLY DESIRABLE COMMUNITY BOASTS ACTIVE CLUB HOUSE.  COME SEE FOR YOURSELF!",360000,390000,217,Golf Villas,6025,over
RX-10585253,2,"Charming three bedroom (could be 4) home in the heart of Boca Raton.  Just outside of booming downtown area.  Walk to Mizner Park, Sanborn Square, Royal Palm Place and all that this hot area has to offer. The beach is just a bike ride away. Screened in Pool and tropical yard. Gleaming terrazzo floors throughout. Accordion hurricane shutters. Newer roof. This home is move in ready! Do not hesitate.",360000,379000,36,2nd,259,over
FX-10210620,3,"GREAT INVESTMENT PROPERTY OR FIRST-TIME HOME BUYER. SPACIOUS 4 BEDROOM/ 2 BATHROOM WITH FAMILY ROOM AND OFFICE ROOM. KITCHEN GRANITE COUNTER AND CABINET.STAINLESS STEEL APPLIANCES. MEXICAN TILE FLOOR AND LAMINATE FLOOR WITH A BEAUTIFUL POOL. FRIENDLY NEIGHBORHOOD,LOW MAINTENANCE INCLUDES COMMUNITY POOL,TENNIS,BASKETBALL,PLAYGROUND AREA,EASY ACCESS TO MAJOR ROADS.",360000,365000,135,Liberty,19686,correct
RX-10601873,5,"WOW! Beautifully Renovated Home In Great Location With A 24 Hour Manned Gate, This One Story Florence Model Features Vaulted Ceilings, Recently Updated White Kitchen With White Quartz Countertops And Stainless Steel Appliances.  Recently Painted, 2017 A/C, 2014 Water Heater, Accordion Hurricane Shutters Complete For Instance Reduction, Fenced Backyard With Fire Pit For Entertaining. This Home Has A Split Bedroom Floor Plan With The Master Bedroom Overlooking The Back Yard With Large Windows. The On-Suite Bathroom Has Dual Sinks, Roman Tub And Standing Shower. Wide Sliding Doors Welcome You To Use The Covered Patio As More Entertaining Space! Verona Lakes Offers Gorgeous Lush Landscaping, 2 Pools, Basketball Courts, Tennis Courts, Gym  & Main Clubhouse",360000,369000,110,Verona Lakes,9548,correct
AX-10819565,5,"Bring your pickiest buyer. This home has been fully renovated from top to bottom with high end finishes. This gorgeous home offer an open layout with an extremely large family room for entertaining guest and family. Did you say you wanted a large kitchen? Well look no further as this kitchen will knock your shoes off. This home offers 3 bedroom, 2 bathroom and a Den/Office which could be used as a fourth bedroom.",360000,359900,155,78th,4140,under
AX-10829258,3,"Beautiful, single family home, in cul-de-sac in a family friendly neighborhood! Vaulted ceilings, open floor plan & spacious setting. Large backyard, enough for pool if desired. Large living area leading into kitchen & dining. New backyard patio tiles, making area great for outdoor barbecuing, hosting or relaxing!",360000,360000,90,Rialto,1537,under
RX-10607949,3,"Welcome home to your 3 bedroom 2 bath 2 car garage SFH located in the desired Verona Lakes. This beautiful home sits on a larger size lot and features a split floor plan, vaulted ceilings, & a huge covered patio. Tile flooring highlights the living spaces, while wood flooring gives the bedrooms a feeling of warmth. Granite countertops in the kitchen with black appliances. Formal dining room for all your family gatherings. Spacious master features two huge walk-in closet. This home also has full hurricane shutter protection. The neighborhood offers gated security, a community pool, tennis & basketball courts, a playground, and low HOA dues. Outstanding A rated schools are close by, and great neighbors make the living experience unique.",360000,369500,114,Cove Point,9225,correct
RX-10608333,3,"Beautiful 3/2 on Deer Creek Golf Course Hole #4. This home has stunning views of the course, private pool, large screened-in patio, hard wood floors and newer roof in 2009. Home needs TLC but perfect for the avid golfer or for a  Second Home.",360000,389900,74,Hollows,665,over
RX-10615195,4,"This amazing renovated 3 bed, 2 bath Waterfront home has been meticulously well kept and upgraded throughout. The open living spaces feature wood flooring, fresh natural paint and soaring ceilings. The open kitchen has been updated with cherry cabinetry, breakfast island, granite counters, tile backsplash and stainless steel appliances. The master bedroom overlooks the water and the en suite bathroom has been upgraded with new cabinetry and tons of storage, granite counter, and gorgeous walk in shower with glass door. The spacious secondary bedrooms also feature fresh paint, tons of natural light and ample closet space. The second bathroom features a stylish bowl sink and new vanity. Enjoy gorgeous Florida days in your private, fenced backyard that overlooks the water while also...",360000,365000,5,55th,5484,correct
RX-10616988,4,MAJOR PRICE REDUCTION! PRICED TO SELL!!! BEAUTIFUL HOUSE IN A VERY DESIRABLE COMMUNITY BOCA GREENS. SITUATED ON A CUL-DE-SAC AND JUST STEPS AWAY FROM HOUSE OF WORSHIP. BRAND NEW AC!  REMODELED AND UPGRADED. WITH A LEGAL EXTENSION GIVING ADD'L LIVING SPACE FOR TOTAL OF OVER 1700 SQUARE FT UNDER AIR. MASTER BEDROOM OFFERS A JACUZZI TUB. GRANITE COUNTERTOP IN THE KITCHEN AND BATHROOMS WITH REAL WOOD CABINETS THROUGHOUT. TILE FLOORS THROUGHOUT AND HARDWOOD FLOORS IN THE BEDROOMS. GATED COMMUNITY WITH SECURITY GUARD. LARGE SCREENED IN PATIO WITH LOVELY VIEW OF THE GOLF COURSE. PLENTY OF SPACE TO ADD A POOL.  NO MEMBERSHIP REQUIRED- PAY PER PLAY IS OFFERED. HOA DUES INCLUDE PREMIUM CABLE & HIGH SPEED INTERNET. A RATED SCHOOLS AND NEAR ALL SHOPS!,360000,364000,35,Back Nine,19635,correct
FX-10224401,3,"Gorgeous 3 BED / 2 BATH house with car garage and Florida room with pool in gated community. New tile in bathrooms. Home is located in a good all-ages neighborhood with a large variety of shopping options nearby. The Clubhouse has many amenities, such as tennis, pool table, ping pong, fitness center and a swimming pool. Low maintenance includes pressure cleaning of roofs and walls, driveways, walkways, lawn maintenance, automatic sprinklers and basic cable. Appliances do not convey. Seller will pay $3,000 concession to buyer for appliances.",360000,367000,6,Ventura,5231,correct
FX-10228938,4,"Welcome to the Greens 1 at Carolina! Light, bright and updated, this two story single family home is priced to sell. 3/2.5 with a large master bedroom on the first floor, separate Jaccuzi tub and shower, volume ceilings in family and dining room, updated kitchen with granite counters and breakfast nook. Two other bedrooms upstairs, half bath downstairs. Large covered screened patio, sprinkler system and two car garage. Room for a pool. Low HOA in well maintained community and desirable area. This will not last!",360000,374900,9,72nd,3154,correct
RX-10627009,3,"WELCOME HOME TO THIS 4/2.1 HOME IN THE SOUGHT AFTER WATERWAYS MAN GATED COMMUNITY WITH 2 POOLS CLUBHOUSE, EXERCISE ROOM. BOATING, TENNIS, BASKETBALL, CLOSE   TO MAJOR HIGHWAYS AND GREAT SCHOOLS.  THE HOUSE HAS TILE FLOORING IN THE LIVING AREAS AND CARPET UPSTAIRS. FRESHLY PAINTED, WITH A NEW ROOF AND NEW FRONT DOOR , GARAGE IS UPDATED WITH A NEW LIFT MASTER SYSTEM, NEW WHEELS, HURRICANE LOCKS AND 2 NEW REMOTES. HUGE FENCED IN YARD.  THIS IS THE PERFECT HOUSE FOR A GROWING FAMILY.",360000,365000,16,12th,4617,correct
FX-10234555,3,"GREAT OPPORTUNITY TO OWN THIS SPACIOUS 4 BEDROOM, 2 BATH HOME CONVENIENTLY LOCATED IN THE HEART OF CORAL SPRINGS. SPLIT PLAN WITH VAULTED CEILINGS BOASTS FORMAL LIVING & DINING ROOM WITH AMPLE FAMILY ROOM OFF OF THE EAT-IN KITCHEN. NEWLY PAINTED, NEWER A/C, NEWER WASHER/DRYER IN LAUNDRY ROOM. LARGE MASTER BEDROOM HAS LARGE TUB W/ SHOWER. WALK IN CLOSET IN MASTER BEDROOM. ADDITIONAL BEDROOM HAS TWO SEPARATE CLOSETS. 2 CAR GARAGE. ENCLOSED COVERED PATIO HAS PAVERS & BACKYARD HAS ROOM FOR A POOL. HIGH IMPACT WINDOWS AND DOOR EXCEPT FOR BACK SLIDER , KITCHEN WINDOW AND BATHROOM WINDOWS .. NO HOA ** WALKING DISTANCE TO SHOPPING & DINING. FENCED IN BACK YARD.",360000,360000,2,95th,2421,under
FX-10236201,5,"THIS IS BY FAR ONE OF THE LARGEST & MOST SPACIOUS MODELS IN CORAL BAY. OVER 1900 SQ. FT. OF LIVING SPACE. Perfect fit for a family with children. This lovely home boasts many great features & recent upgrades including: NEW KITCHEN W/NEWER CABINETS, QUARTZ COUNTERTOPS, LARGE PANTRY W/some pull out drawers & Newer STAINLESS APPLIANCES; UPDATED POWDER ROOM; NEW LAMINATE WOOD FLOORS consistent throughout the entire home; OPEN CONCEPT LAYOUT; HURRICANE IMPACT DOUBLE FRONT DOOR; NEWER AC; NEW RECESSED LIGHTING throughout downstairs; 4 SPACIOUS BEDROOMS Upstairs w/plenty of closet space; LARGE FENCED BACKYARD & so much more. MUST SEE TO APPRECIATE! WON'T LAST!",360000,349900,3,San Carlos,3022,under
FX-10236184,3,"PRICED TO SELL!!! Ready to Move-In, Beautiful 3 BED, 2 BATH, 2 CAR GARAGE in highly desirable Mayfair at Wyndham Lakes, exclusive gated community, featuring high ceilings and fully screened private backyard. Updated kitchen (2016) with granite counters and stainless steel appliances. All tile and laminate - no carpet! 2020 washer/dryer and 2015 A/C. Wonderful family neighborhood, community pool within walking distance and extremely low HOA of $80 per month. Excellent schools - Eagle Ridge, Coral Springs Middle and Marjory Stoneman Douglas.",360000,364999,34,54th,12316,correct
RX-10640014,4,"Great layout, move in ready or make it your own.  ",360000,350000,0,38th,638,under
RX-10600041,3,"Great opportunity to own in the desirable Chapel Hill area - This home sits on an oversized corner lot which is fully fenced and has plenty of room for a pool. Enjoy the super sized covered/screened patio overlooks the shady backyard and has lots of possibilities for conversion into additional bedrooms or living space. Tiled throughout and has a split floor plan with  formal living rm, dining area, eat in kitchen with access to the patio. Master bedroom features walk in closet & private bathroom with cabana door. Kitchen features upgraded led lighting, stainless steel appliances and plenty of cabinetry and storage space. Accordion shutters on all windows for easy storm prep. Roof is only 8 years, A/C is 2 years. Great location close to Downtown Delray Beach and has no leasing restrictions.",361500,364500,78,27th,903,under
RX-10625047,5,"Gorgeous, newly renovated two story home in sought after Delray Beach, FL.  Perfect location 1 mile to the beach and popular Downtown Atlantic Ave, close to 95 with a brand new Whole Foods shopping center, directly across the street from the neighborhood. 3 large bedrooms, 2 baths, 1 car garage, open concept kitchen, great for entertaining. Vaulted, wood beam ceilings and tile floors throughout the main level, leading out to your very own backyard tropical oasis. Privately fenced in with a saltwater pool, relaxing custom crafted covered cabana connecting to a sun deck, surrounded by luscious palm trees. Features include newer roof, AC 2017, fence & shed 2018, master enjoys a new bath 2019 and juliet Balcony. Underground power lines allow for unobstructed surises and sunsets.",362000,379900,0,Sundy,2470,correct
RX-10621773,4,"STUNNING UPGRADED 3 BEDROOM 2 BATH 1 CAR GARAGE PLUS A CIRCULAR DRIVEWAY HOUSE!! TRAVERTINE MARBLE FLOORING IN MAIN AREAS AND WOOD FLOORING IN BEDROOMS. BEAUTIFUL UPGRADED KITCHEN WITH WOOD CABINETS, STAINLESS STEEL APPLIANCES AND GRANITE COUNTERTOPS! PROPERTY ALSO HAS HURRICANE IMPACT WINDOWS, SCREENED BACK PORCH PLUS A DECK, GREAT FOR ENTERTAINMENT!! HOUSE IS LOCATED IN EXCELLENT SCHOOL DISTRICT!!",363000,368000,10,3rd,9363,correct
AX-10842989,4,"Lovely home located in the desirable gated community of Coquina Lakes!Situated on a corner lot, this 3 bed 2 bath home features a Remodeled kitchen with granite countertops, stainless steel appliances,plenty of cabinets and storage. The Kitchen breakfast island overlooking the family room makes this home perfect for entertaining! You will love the Master Bedroom with walk in closet and upgraded bathroom.The huge screened in patio and a fenced yard will be a welcome retreat after a long day and for those friends and family get togethers. Within steps of the pool and playground area.This home is perfectly located within walking distance of the Promenade of Coconut Creek for easy access to restaurants, shops and entertainment. 3D Tour https://my.matterport.com/show/?m=zDPi9uwNd7S&brand=0",363500,369900,39,43rd,4409,correct
RX-10595815,3,"Freshly painted exterior & interior. New appliances, light fixtures & more. Great find in Delray Beach, close to schools, shopping, fine dining.  This 1 story single family style detached home, 3BR, 2BA, 1 car garage is located in the beautiful gated community of Rainberry Lakes.  Huge private fenced in backyard with your very own pool where you can entertain guest and family all year round.  Open concept floor plan, living/dining room combo, kitchen has some updates with ample cabinet and countertop space.  Sliding glass doors that lead out to the Florida room.  Nice size bedrooms, master bathroom has separate walk-in shower and roman tub.  Guest bathroom has glass enclosed walk-in shower and pedestal sink.  This is truly a must see property.  So hurry, this won't last long on the market.",364000,350000,102,12th,2155,under
AX-10857226,4,"Great location, close and walking distance to Quiet Waters Elementary School, Shopping, Restaurants, Recreation. Easy access Expressway, Florida's Turnpike, and Interstate 95. Living Room, Dinning Room, Family Room. Open concept Kitchen, Living, and Dinning Room. Large eat in Kitchen, with 48 inch Cabinets, Granite Counters, Travertine floor, and Stainless Steel appliances. Neutral Ceramic tile throughout main living areas, and wood floors in Bedrooms. Updated Bathrooms, Vanities, Lighting, Flooring. Crown Molding, Chair Rail, and Baseboards throughout the home.Fresh paint Interior & Exterior. Landscaped yard, w/Digital Sprinkler system. Large Covered Patio backyard. Nest Thermostat, Smoke & Carbon Monoxide Detectors. ADT Home Security system. Orbit b-hyve Digital Sprinkler system.",364000,363999,15,41st,303,under
RX-10601006,3,"Spectacular Mediterranean One Story Rarely Available ''Villa Santorini'' Model Home Featuring 2 Spacious Bedrooms(bigger than most 3 bedroom homes), 2 Baths & a 2 Car Garage Plus a covered patio area overlooks a lush landscape including a waterfall. Enter through the private & elegant wrought iron double gate which opens to a tropical paradise that starts in the courtyard and continues to the side and backyard. Double door entranceway with an arched and leaded glass window overhead. Dramatic entrance w/soaring cathedral ceilings & picturesque windows that flood the inside with natural light. Enjoy the sense of openness, volume, & space.",365000,385000,73,Via Rosa,6542,over
AX-10820432,3,"Welcome to Newport Cove! A gated, quiet and friendly community. Your house features vaulted ceilings, split bedrooms, his and her closet, laundry room, and Nest Learning Smart Thermostat. Kitchen features granite countertops, new stainless steel appliances, new Delta Single-Hand Touch Kitchen Sink, and pull out drawers in kitchen cabinets for easy access and storage.Alarm system and six camera hardwired surveillance system with DVR monitored from master bedrooms screen. Spacious Florida room with additional AC unit and dog door leading to a large backyard featuring new privacy fence. Newport Cove has one of the lowest HOA fees in the area and includes cable, front and backyard lawn maintenance, club house, pool, tennis court, gym and more.",365000,365000,56,Stirling Bridge,7926,under
RX-10608511,2,"**This is the ONLY single family house under $400k in Mission Bay!** Newly painted with brand-new premier garage floors. Mesmerizing long-lake views with southern exposure, and a newer 2015 roof. With more than enough room for a pool! Host friends and family inside and out with a fantastic covered and screened in patio. This home is steps away from The Clubhouse which boasts a resort style saltwater pool, jacuzzi, sauna, state-of-the-art fitness center and studio (with professional classes included), locker rooms, party and game rooms, and poolside sports bar! Also included and within walking distance is the Community Park, which features basketball and tennis courts, turf soccer fields, covered playgrounds, and SO much more.",365000,388500,122,Santa Laguna,10715,over
RX-10609341,4,"THIS ABSOLUTELY PRISTINE HOME IS SUPER LIGHT, BRIGHT & AIRY WITH SOARING CEILINGS ADDING TO THE VERY OPEN CONCEPT FEELING! NEW ''SPARKLING QUARTZ'' COUNTER TOPS WITH ROOM FOR FOUR STOOLS, BRAND NEW STAINLESS STEEL APPLIANCES & STUNNING GLASS TILE BACKSPLASH! EXTREMELY SPACIOUS MASTER BEDROOM FEATURES BRAND NEW HARDWOOD FLOORS (no laminate in this home!) SITTING AREA, HUGE WALK IN CLOSET & SUPER HIGH CEILINGS! UPDATED MASTER BATH HAS HIS & HERS VANITIES & GORGEOUS NEW LIGHTING. RELAX, GRILL OUT OR ENTERTAIN FRIENDS IN THE SCREENED LANAI WITH NICE COOL BREEZES DUE TO THE EXPOSURE. HUGE BACKYARD WITH ROOM FOR A POOL '' AND '' A PLAYGROUND (great for children & dogs to play!) NO HOA SO PARK YOUR BOATS OR RV BEHIND THE 6 FT FENCE! NEW A/C & W/H! ALL PETS WELCOME HERE!",365000,367900,71,Palm Ridge,5317,under
RX-10612709,4,"OVERSIZED CORNER LOT.
You will feel in love with this Cozy and beautifully updated pool home in a very prestigious location of West Boca Raton, low HOA, vaulted ceiling, newer stainless-steel appliances. A pleasure fenced in back yard with a nice sized pool and an oversized corner lot. Split bedroom plan. Turn keys, just finished all up-dates.  Sparkless, cozy and sweet home. 
Conventional and cash only.",365000,379000,51,Bedford,9102,correct
AX-10841027,3,"Great Home 4 bedroom / 2 bathroom, nice space, open kitchen, swimming pool, access to pool from two bedrooms, Garage, beautiful patio. Walking distance to restaurants, coffee shop, Wonderful neighborhood.",365000,369000,10,28th,9616,correct
AX-10851788,4,"Beautiful 4 bedroom 2 bath 1 car garage in the heart of Boca Raton. Beautifully remodeled and updated floors throughout, gourmet kitchen, quartz countertops, all updated finishes, LED lights throughout the house. Brand new Roof, AC. The backyard has a lake view, patio to enjoy the perfect sunset.This home offers a suburban community setting nestled in Boca Raton. This exclusive community offers a pool, luscious plant life and greenery, a half basketball court, tennis court. Lots to do or you can just relax. Come see this beauty and call it HOME SWEET HOME!. Priced to sell!!!",365000,369900,48,Butterfield,8332,correct
FX-10230362,2,"Excellent Opportunity for this Well Kept 3 bedroom 2 Bath Pool Home with Bonus Room!! Great Coral Springs Location Close to The Walk and Future Downtown Development! Extremely Clean and Freshly Painted! Vaulted Ceilings! Spacious Bedrooms! Master offers Walk-In Closet and Cabana Bathrooms! Slider to Pool! Private Fenced Yard with Screened Pool! Large Covered Space! Mature Trees! Garage has Central AC with Sliders that have Enclosed. It can be a 4th bedroom, Gym, Office, Man-cave, etc. It can also be very easily converted back to a Garage. Must See Home! Offers a Ton of Value in a Great Central Coral Springs Location!",365000,374900,40,94th,2782,correct
FX-10230935,3,"A MUST SEE - 3 bedroom 2 bath pool home in the Winston Park area of Coconut Creek. The home has an updated kitchen, updated master bathroom, screened pool/patio area, 2 car garage and wood floors. The home is in good condition offering tremendous potential. Its close to good schools, major highways, shopping, parks and restaurants. Don't miss out on this opportunity.",365000,399900,13,53rd,5164,over
RX-10627453,4,"Welcome home to this beautiful 3 bedroom/2.5 bath single family home in highly desirable Country Club Village.  This light and bright home features an updated kitchen with wood cabinets, granite countertops, a center island, and stainless steel appliances. First floor features tile laid on a diagonal, a separate living room, family room, dining room and a half bath. The second floor features three spacious bedrooms,  2 full baths, and a laundry room.  All closets have been custom fitted, and the master closet is enormous with a center island and even room for a small office.  Additional upgrades include 2015 a/c, smooth ceilings, a double door entry, electric fireplace, lots of extra storage space, Chicago pavers, lush landscaping, and a fenced in backyard for entertaining.",365000,369000,4,112,3455,correct
RX-10626609,2,This beautiful home wraps around  and opens to a wonderful  screened Pool Patio..  Entertaining or just hanging out you just cannot ask for more. Split  bedroom plan..Updated  Luxurious master bath with large walk in shower and stylish soaking tub. Kitchen features snack bar for eight and pass through with outside bar.  Tile and wood  throughout. accordion shutters. fenced yard for pets. Quiet neighborhood  with treed lined streets and No HOA .       .,365000,399900,23,Edgar,3979,over
RX-10627412,4,"NO MANDATORY MEMBERSHIP FEE , Remodeled home in corner lot overlooking lake in the desirable Boca Greens gated community, spacious 3 Bedrooms, 2 Bath home with vaulted ceilings Family room overlooking a screened patio and the lake, remodeled kitchen, baths and much more; upgraded stainless steel appliances, granite countertops. Excellent schools and conveniently located less than half mile from Boca Greens Shopping center and less than a mile from to Mission Bay Plaza, with movie theater, shopping, dining, Gyms and much more!",365000,379000,1,Camelback,10066,correct
RX-10628143,4,"Location! Beautiful and Updated Spacious Single Family Home With A Sky-Lit Loft In A Sought-Out 24 Hr. Manned Gated Community. Central Boca In An A-Rated School District! Features Include High Ceilings, Large Windows With An Abundance Of Natural Light, Tons Of Closet Space, Large Fenced In Yard With No Rear Neighbors And A Patio Perfect For The Entertaining Family! The Spacious Kitchen Is Open To The Family Room With Wood Cabinets, Corian Counters & White Subway Tile Backsplash. Beautiful Laminate Flooring On The Ground Floor With A Large Half Bath. Low HOA Fee,  2 Pools, Clubhouse, Playground, Tennis, Basketball & Racquetball Courts. It's In A Great Location... Close To Mall, FAU, The Beach, Shopping & I-95. Walking Paths In The Community That Lead Straight Into Boca Center Plaza! ",365000,375000,18,Coronado,5112,correct
RX-10630277,3,"Renovated, pool home in The Greens at Carolina. This 1-story haven, complete with 3 bedrooms, 2 bathrooms, a 2-car garage and 1,713 square feet. Vaulted ceilings in the living room, dining room, kitchen and master bedroom make this home feel open and airy. The kitchen is updated with wood cabinets, stainless steel appliances (2017), beautiful granite counters and a tumbled marble backsplash. The master bedroom overlooks the beautiful free-form pool and offers a walk-in closet. The master bathroom was remodeled and features double sinks with a granite top vanity, a walk-in shower with stunning tile inlays and a frameless shower door. The home features a split floor plan with the other 2 bedrooms and full bathroom on the opposite side of the home. The secondary bathroom has also been fully ",365000,359500,6,75th,2861,under
RX-10630493,3,"A RENOVATED, 3 BEDROOM/2 BATHROOM, SPLIT BEDROOM, OPEN FLOOR PLAN, VAULTED CEILINGS IN THE DESIRABLE LAUREN'S TURN COMMUNITY WITHIN WINSTON PARK.  QUIET CUL-DE-SAC LOCATION WITH OVERSIZED LOT, OVERSIZED PATIO AND PRESERVE IN BACK FOR MAXIMUM PRIVACY, TRANQUIL SETTING....BIRDS, BUTTERFLIES AND SQUIRRELS ABOUND. REMODELED SILESTONE, STAINLESS STEEL KITCHEN AND CUSTOM TILED BATHS. TWO YEAR NEW A/C. COMMUNITY POOL WITH SOME OF THE LOWEST HOA FEES IN BROWARD COUNTY.  OWNER IS A LICENSED REAL ESTATE PROFESSIONAL.",365000,365000,7,54,5364,under
FX-10235077,3,FABULOUS HOME ON INTERIOR LOT IN POPULAR BROOKSIDE ISLE*A SMALL DEVELOPMENT WITH A COMMUNITY POOL*GRACIOUS DOUBLE DOOR ENTRY LEADS INTO A LARGE FOYER*OPEN FLOOR PLAN* LARGE LIVING ROOM OVERLOOKING PATIO AND GARDEN AREA*HUGE DINING ROOM*KITCHEN WITH BREAKFAST AREA*STAINLESS STEEL APPLIANCES*SPACIOUS FAMILY ROOM*SPLIT BEDROOMS*LARGE MASTER BEDROOM WITH 2 WALK-IN CLOSETS*PRIVATE MASTER BATH WITH TUB AND SEPARATE SHOWER*TWO BEDROOMS IN A SEPARATE WING OF THIS HOME*ONE BEDROOM USED AS A OFFICE CLOSET HAS CUSTOM SHELVING AND CAN BE CONVERTED BACK TO A CLOSET*SCREENED PATIO*2 CAR GARAGE*PLANTATION SHUTTERS*VOLUME CEILINGS*HOA $185. a MONTH*INCLUDES LAWN MOWING AND COMMUNITY POOL*ROOF 2015* ACCORDION SHUTTERS*,365000,365000,11,48th,10319,under
FX-10238572,4,"This 5 bedrooms and 4 complete bathrooms with an entertaining area with a beautiful pool and multi color LED light is a gem in the heart of Pompano Beach. Nice landscape garden with a white fence on the backyard Kitchen with a quartz counter-top isle, stainless steel appliances and white cabinets was remodeled on February 2019.Tiled all around. A Laundry room. New roof installed in February 2020. Brand new hurricane folding shutters and impact front door recently installed, which recently passed the wind mitigation inspection for big insurance discounts. A must see!!",365000,370000,4,18th,5249,correct
FX-10224221,3,"****MUST SEE*** BRAND NEW LISTING IN PARAISO*****IMMACULATE 4 BEDROOM 2.5 BATH WITH OVER-SIZED 2 CAR GARAGE IN GATED COMMUNITY. PROPERTY BACKS INTO TO A PRESERVE AND HAS LARGE BACKYARD WITH SCREENED IN WRAP AROUND PATIO, PERFECT FOR ENTERTAINING AND DINING OUTSIDE. THIS SOARING 2 STORY HOMES ALLOWS FOR LOTS OF NATURAL LIGHT. KITCHEN HAS BUILT-IN SEATING. KITCHEN AND BATHS HAVE BEEN UPDATED. MASTER BR W/ 2 CLOSETS-1 LARGE WALK-IN. LOVELY MASTER BATH WITH ROMAN TUB, SEPARATE SHOWER, AND TWO SINKS. *****READY TO MOVE IN****HOA FEE INCLS: COMMUNITY POOL/CABLE/GATE/COMMON AREA LAWN",366000,369000,24,Overture,22488,under
RX-10623303,3,"Rare opportunity in gated Fosters Mill Development.  This 4 bedroom 2.5 bath home is at the end of a cul de sac and offers a large backyard with lake views.  The home has been well kept and clean as can be!  The home has vaulted ceilings and crown molding in all but two bedrooms.  In addition, there are plantation shutters in the living room and granite countertops in the oversized kitchen.  The water heater is less than one year old.  Act quick because this home will not last!!",366500,365000,18,Fosters Mill,1204,under
RX-10640104,4,"This 3 bedroom, 2 bath home is ready for you to call home. Open concept with cathedral ceilings. Wall to wall marble flooring throughout home with dark laminate wood in Master. No Carpets here! Freshly painted and stylish. Updated Kitchen with stainless appliances and updated modern baths. Great family neighborhood with community pool and tennis courts within walking distance. Low HOA fee! An absolute must see!",367000,360000,2,Dynasty,8527,under
RX-10616181,5,"This home is a must see! Completely upgraded and beautifully landscaped, just move in and enjoy your new home with a lake view! Beautiful gated community in the highly sought after city of Delray Beach! Hurricane impact glass, doors and garage door (insurance discount). Vaulted celings,tile throughout, large master bedroom with three his and hers closets and extra storage. Luxury modern master bathroom, office room and bonus room! Huge screened patio, perfect for entertaining! Enjoy playing with the kids on the largest lot in the community. HOA includes common areas, cable, security gate, ADT monitoring, garbage, community pool maintenance, tennis courts, basketball and clubhouse. You don't want to miss out on this gorgeous modern home!",367500,380000,13,Grande Palm,5350,correct
