Listing Number,Interior,Public Remarks,Sold Price,List Price,Cumulative DOM,Street Name,Street #,Listing_eval
RX-10634225,3,"Boynton Beach's Hidden Paradise awaits you in Dos Lagos! This Well Maintained GATED/ LAKE FRONT SPACIOUS 3 Bedrooms/3 Baths/2 car garage POOL Home awaits you!! No Zero Lot Here...Open up your French Doors to your Screened in Patio overlooking the pool & lake. The pool area is fenced...You'll have peace of mind knowing your home comes complete with a METAL ROOF. This particular Roof is called 'Stone Coated Steel. Not only does this add durability but adds beautiful curb appeal, come see for yourself....Pool was resurfaced 3 years ago and the AC is only 8 years old & serviced regularly... As you drive up your eyes will catch the beautiful Stone Driveway, Screened Front Porch & Aquatic Garden...There are 3 ''Full Bathrooms''. This split bedroom plan offers plenty of privacy",367500,399000,9,Las Brisas,86,over
RX-10635458,4,"This 2/2/1 MOVE-IN READY single-family home is located in one of Palm Beach County's best-kept secrets - Chapel Hill!
 
This home was designed with a wide-open floor plan/great room absolutely IDEAL for entertaining family and guests. The HUGE front windows and sliders add a feel to the room that could only be provided by TONS of natural lighting and a picturesque view of the very private tropical backyard. Brand new high-end bamboo flooring was installed throughout 2015 including updated baseboards. Beautiful crown molding installed throughout the living area in addition to UPDATED recessed lighting, fans, and fixtures.
 
The kitchen has been UPDATED with GRANITE countertops, tiled backsplash, UPDATED hardware, under-mount STAINLESS STEEL sink, high-end SAMSUNG STAINLESS (see suppleme",367500,375000,3,27th,706,correct
FX-10206896,4,"Priced to sell! New roof in 2018! New A/C in 2017! New water heater in 2017! New electrical panel in 2018! The gourmet kitchen is large and a chef's delight! Newer appliances and remodeling include stainless steel appliances, granite counter tops, and rich cabinetry! Stunning! Spacious open floor plan is wonderful for entertaining. The wood burning fireplace sets the mood. Time to make memories! Split bedroom plan with all bedrooms having laminate flooring. The recently remodeled bathrooms are gorgeous! An amazing amount of covered patio awaits for enjoying your private backyard complete with a sparkling pool. Screened in patio. Fenced in backyard with wide gate. No HOA. Good schools and an ideal location close to shopping, dining, and the Sawgrass Expressway. Amazing city amenities too",368000,375000,98,116th,2925,correct
RX-10603177,2,"Lake Charleston Spacious 4 Bedroom, 3 Bath, 3 Car Garage, Pool Home on Large Lot overlooking the Lake! This home is priced to sell. Ready for a new family to call it Home. Tile floors throughout, freshly painted.",368000,385000,51,Cedar Hurst,7747,correct
AX-10876924,5,"Stunning 3/2 with open Kitchen and upgraded appliances, high ceilings, and more upgrades throughout. Newer AC, Impact Windows & Doors, Surveillance System, and many additional perks. Large Outside Patio with newer fence, lush landscaping, Travertine tile, tastefully upgraded pool. No HOA. This is a MUST SEE property! This property will not be available for long.",368000,379000,0,29th,5380,correct
FX-10194339,4,"FABULOUS RENOVATED IN BOCA TRACE, 4 BEDROOMS PLUS LOFT AREA 2 FULL BATHS PLUS GUEST BATH/1/2 BATH, 2 CAR GARAGE PLUS SCREEN PATIO WITH YARD. INTERIOR FEATURES AMAZING OPEN CONCEPT LOTS OF VOLUME CEILINGS,EAT IN KITCHEN WOOD FLOORING WITH WATER RESISTANCE THROUGHOUT, BRAND NEW KITCHEN WITH BEAUTIFUL GRANITE COUNTERS, NEW STAINLESS STEEL APPLIANCES, RENOVATED BATHROOMS WITH CONTEMPORARY SINKS, UPDATED VANITIES. MASTER BEDROOM IS ON FIRST FLOOR. FRESHLY PAINTED INTERIOR AND EXTERIOR, READY TO MOVE IN !!",369000,369000,152,Shawe,8559,under
AX-10824189,4,"LOCATION, LOCATION, LOCATION!! Move right in to this wonderful home, featuring 3 bedrooms, 2 bathrooms, HIGH IMPACT DOORS AND WINDOWS, meticulously maintained. You will love the vaulted ceilings & spacious feeling of the open floor plan & neutral tile floors throughout.. Come in and make it your own. Huge green space, no rear neighbors, Completely fenced in. Heated community pool and tennis court Close proximity to Turnpike, 1-95, Town Center Mall, Shops & Restaurants. Walk to A-Rated Elementary School. Certain to Please!",369000,369000,102,Dynasty,8375,under
RX-10620428,3,"Waterfront pool home on the canal! Spacious 3 bed/2 bath, 2 car garage on cul-de-sac. Large pool has new diamond bright. Enormous kitchen, gorgeous coquina stone fireplace in living room, jetted tub in master, huge master walk-in closet & outdoor bar & sink on patio. Split floorpan w/ indoor laundry too. Oversized 3 car wide driveway. Washer/dryer are 1 yr old, roof 6 yrs, AC 4 yrs, exterior paint 1 yr, water heater 1 yr. Brand new floors just installed throughout entire home! Irrigation feeds from canal! Outdoor covered living space is perfect for entertaining! Outdoor shower & garden in back. Peaceful oasis has two beautiful mature oak trees, tons of pineapple plants, banana trees & avocado trees! Cypress Creek is 24 hr manned gate, Boynton Beach's hidden gem! Low HOA is only $117/month!",369000,379000,1,Ardisia,4123,correct
RX-10625581,4,"MOVE RIGHT IN AND ENJOY THIS BEAUTIFULLY UPDATED HOME!  METICULOUSLY MAINTAINED INSIDE & OUT.  QUIET INTERIOR LOT W/3 FRUIT TREES.  ACCORDION SHUTTERS FOR ALL WINDOWS & DOORS, PLUS IMPACT GARAGE DOOR. DOUBLE DRIVEWAY CAN ACCOMMODATE UP TO 4 CARS. 
NO POLY PIPES! HOUSE WAS REPLUMBED W/PVC.
NEW IN 2019; WATER PROOF WIDE PLANK LUXURY VINYL FLOORING (KITCHEN/DINING, LIVING, BEDROOMS, & HALLWAYS), BASEBOARDS,  INTERIOR PAINTED, BLINDS, & LED HIGH HAT LIGHTS.
NEW IN 2018; WATER HEATER, G.E. WASHER & DRYER, & IMPACT GARAGE DOOR W/ WIFI CONTROLLED MOTOR.
NEW IN 2017; KITCHEN WITH QUARTZ COUNTERS, DEEP SINGLE SINK, QUIET CLOSE DOORS, MOEN FAUCET & ALL SAMSUNG SS APPLIANCES W/ICE IN DOOR REFRIGERATOR. BOTH BATHS WERE RENOVATED IN 2014. CUSTOM SHOWER IN MASTER BATH.  480 SQ FT SCREENED PATIO.",369000,374999,4,Floralwood,8563,correct
FX-10231067,4,"Wow.....Run Don't Walk!!! This Beautiful 3/2,OverSized 2 Car Garage(600Sqft) Sought After Area W/ A-B rated Schools is a Jem.Home Features: Open Floor Plan, Split Bedrooms, Volume Ceilings, Recent Interior Paint W/ 2 Tone Paint and Trim, UpGraded Lighting, Fans. New 2x2 Porcelein Tile, New Laminate in Bedrooms, New Kitchen, Stainless, Granite, New Master Bath,California Closets($10,000) Exterior: New Roof($50,000) Poured Concrete/Barrel, Exterior Paint 4 years, Accordian Shutters Throughout W/ Security film, Low Insurance Premium,2 Year Old Garage Opener,Water Heater 2017,Much More,Close to All Amenities* Super Wal-Mart* Home Depot*Super Target*Resteraunts* 5 miles from award winning Deerfield Beach & Pier*Easy access to major highways. Treat Yourself!!!",369000,369000,3,48th,471,under
AX-10870853,5,"Amazing & Spacious 4 Bedroom 3 Bathroom Home! The property features volume ceilings, open concept kitchen, living, dining & family areas w/ beautiful tile floors throughout. The property has a gorgeous kitchen with island & wine bar, matching updated bathrooms, a master bedroom en suite w/ walk in closets, beautiful wood vinyl floors in bedrooms, laundry room and 2 car garage. Its a must see! Were priced to sell and easy to show.",369000,377900,10,Osprey,6253,correct
RX-10629935,2,"3 bedroom, 2 bath home freshly painted exterior in excellent condition. Private backyard. Stove & microwave 6 months. Fridge 2 years Washer/Dryer 2 years, A/C 4 years. New dishwasher coming. Full hurricane protection for all windows. Very clean and shows pride of ownership. Fantastic amenities w/Olympic pool & kiddie pool, tennis, bball, playgrounds, picnic & BQ area, newly expanded fitness center. Monthly HOA includes X1 Xfinity HD platform w/DVR and Internet. Manager on site. Close to shopping houses of worship, I95 and tpke.",369000,369000,0,Crescendo,10898,under
RX-10619673,5,"This beautifully renovated home sits on a very quiet street in the wonderful community of Boca Landings.  The kitchen has been completely remodeled with granite, high quality appliances and cabinetry.  The open floor plan is great for entertaining and has wonderful natural light with the vaulted ceilings.  Both bathroom have been remodeled along with gorgeous flooring choices.  The front door was jsut replaced with a beautiful impact door.   Out back is a screened porch overlooking your fully fenced and very private yard.  Boca Landings is a family friendly community with low HOA fees,  2 pool, tennis, basketball and tot lot all located a short walk from the home.   Cable TV & Internet are included in HOA fee.",369900,369900,3,Aegean,9389,under
RX-10630003,4,"$20/month electric bill!!!! that is equivalent to saving approximately $40,000 on the purchase price in terms of monthly payment. Truly a great house in a great neighborhood! An open kitchen and living room with a split floor plan make this house very desirable. Come see for yourself why people are moving to this community in droves. Great homes for great value. This house has full solar panels so you save a ton of money on electricity. A spacious backyard is begging for a pool and a cute gazebo. Come for the house stay for the community. A golf cart ride from Downtown Delray and newly renovated Boynton Beach. Easy to show come see it today.",369950,369950,98,1st,2930,under
RX-10592614,3,"Don't miss this rare opportunity to own a piece of paradise in a quite gated community on a beautiful tree lined street just minutes from beaches and the heart of Downtown Delray Beach. Situated on a prime over sized lot next to the community pool and tennis courts, this light and bright 3 bedroom, 2 bath beautifully remodeled home has been meticulously cared for and boasts an open floor plan with high ceilings, open living space, and a large screened in patio. Brand new roof and new A/C, large 2 car garage with extra storage, accordion hurricane shutters.  Must see!",370000,384000,116,Sherwood Forest,4300,correct
RX-10596345,3,"Move in ready home in Polo Trace priced to sell. Large home, open kitchen to family room. Split bedrooms, 2 car garage, master with walk in closet and jacuzzi tub and walk in shower. screened patio. ",370000,389900,89,Charing Cross,7571,over
RX-10605275,3,"Beautifully updated and freshly painted 3BR/2BA Spanish Mediterranean Aspen model lakefront home in a gated community. Split Bedroom floorplan, new carpeting and vaulted ceilings. Remodeled kitchen features wood cabinets, granite countertops and stainless appliances.  Master bdrm with walk-in closet. Master BA w/skylight, dual vanity sinks, Roman tub & separate shower stall. Screened enclosed patio overlooks the lake. Partially fenced yard.  2 car garage parking. Accordion hurricane shutters thru-out. Central HVAC. Community clubhouse with social & fitness rooms, main pool, hot tub, satellite pool, tennis, basketball & walking trail. Hotwire HDTV/Internet included. Exterior house/driveway painting every 7 yrs. Close to major transportation, shopping, restaurants and the Florida's Turnpike.",370000,379500,60,Milan,19921,correct
AX-10847150,4,"Gorgeous home in the heart of Coconut Creek! Not a thing to do! Move right in! Split plan model, high ceilings, tile through main living area, Eat-in-Kitchen- white cabinets w/ pullout drawers, quartz countertops, stainless steel appliances, snack bar counter, & large pantry. Formal Living/Dining room combination w/ eyebrow windows, separate Family Room overlooking the back yard. Large Master Bedroom with room for sitting, and spacious closet with built in drawers and shelves. Updated Master Bathroom w/ dual sinks. Spare Bedrooms w/ marble floors. New cellular shade blinds throughout & new light fixtures. French doors out to the back yard and garden, accordion hurricane shutters, gated community w/ pool & tot lot, short distance to downtown Coconut Creek/Promonade & High School.",370000,379900,21,44th,4353,correct
RX-10617062,4,"This home shows like new! This home is beautiful, recently updated and immaculate! Upon entering this home, you cannot miss the exquisite 24'' polished porcelain tile throughout the entire home...and crown molding throughout the main living area. Chef's kitchen has beautiful granite countertops, stainless appliances, and plenty of counter space. Kitchen also has an eat-in area. This is a split floorplan, with large master bedroom, roman tub, separate shower and dual closets and vanities. 2nd and 3rd bedrooms share a beautifully updated bathroom. This home features a large screened and covered patio and a GIGANTIC fenced yard - one of the larger lots in VL.",370000,375000,43,Cove Point,9297,correct
FX-10225613,4,"Wonderfully, well cared for 3-bedroom 2 bath lakefront home that has been updated and remodeled. Floorplan is a split bedroom design, with ceramic tile throughout living area, neutral carpet in master and 3rd bedroom and laminate flooring (wood look-alike) in 2nd bedroom. The kitchen has granite countertop, wood cabinetry, and stainless-steel appliances. Impact windows, newly painted interior and exterior, high ceilings without the popcorn finish. Large covered patio is screened-in. 2 car garage is oversized with lots of storage space. Enjoy living close to the bustle of Deerfield Beach; close to shopping, restaurants, Quiet Waters Park, etc. while still feeling nestled in your new home in Riverglen. This home is move-in ready!",370000,380000,60,47th,482,correct
RX-10618553,2,"A house to call home! Newly updated and ready to move in, immaculate 3/2 CBS home with attached garage in great East Boca location, about 1.5 miles to the ocean and beautiful public beach, FAU, I-95 and close to  Mizner Park/ Downtown Boca. Large living -dining room area that is light, bright and airy leading out to expansive screened-in porch that overlooks large and lush fenced-in backyard with room for pool. Split bedroom plan with both bathrooms just remodeled. Single attached garage with side yard that has large concrete pad behind secure gate  for RV/ Boat or Trailer. NO HOA OR PET RESTRICTIONS. This home is a rare find in Boca. Call listing agent today for showing instructions",370000,405000,24,46th,280,over
RX-10619152,4,"Well-appointed THE IDEA HOUSE model in The Colony at Boynton Beach. This beautiful home with tons of natural light offers 4 bedrooms, 3 full bathrooms, 2 car garage and a peaceful lake view. Step inside and be greeted by soaring volume ceilings in the formal living room and dining room with extra-large windows perfect for your holiday dinners. The kitchen features wood cabinetry, granite counter tops and center island. You'll love the breakfast area with sliding doors overlooking the serene lake view. The family room is open to the kitchen and this area is ideal for the hub of all family activity.The first floor has a spacious guest suite/in-law with a closet and a full bathroom.",370000,380000,21,Colony Lake,7800,correct
RX-10623501,4,"Take a look at this stunning home with great sunset views.  This home is a 3/2/2 on a lake with your own private pool with Avocado and Fruit trees.  Great location in Boca Raton which is a great city to live in with shopping and great schools near by.  Impact windows, upgraded kitchen, custom TV entertainment unit are just a few of the unique features of this home.  Come take a look you won't be disappointed.",370000,375000,3,Eureka,10695,correct
RX-10625284,5,"Modern and updated living in one of South Florida's most sought out neighborhoods. Prepare to live in comfort in this 3 bed/2 bath renovated home. Enter the home into an open floor plan living area. Kitchen, dining, and living room flow together into a welcoming space, leading to a sun-filled extra room that can be used as a sitting room or office which opens up to the back patio and garden. Inside you will enjoy a fully updated kitchen with modern white cabinets, quartz countertops, subway tile back splash and stainless appliances. Enjoy a spacious master bedroom with renovated en suite bathroom with all the modern touches of tiled bath, large vanity, and stylish light fixture. Enjoy the local area with great sites all a walk or bike ride away.",370000,375000,20,4th,220,correct
FX-10231451,3,"Beautiful Lakefront Family Home in Bay Estates with high ceilings. Features 4 bedrooms and 3 bathrooms, with one of the bedrooms/bathrooms downstairs. Tile on the first floor and wood laminate on second. Master bedroom has a balcony overlooking the lake. Gazebo area on side of house perfect for entertaining. Fruit trees: Avocado, Mango, Lychee, Pepper tree, Banana, and June Plum tree. A-Rated School Districts (Elementary through High School). Low HOA. Community playground and pool. Close to Schools, Shopping and Turnpike. Don't miss this one, it will not last.",370000,375000,7,Lansdowne,6284,correct
RX-10626664,3,"A rare find!  Set like a jewel in Sandalfoot Cove!  This light filled home is a must see.  A combination of soft living and classic elegance is found in every corner of this well maintained home.  Escape to tranquility on the spacious patio equipped with a saltwater pool, which has been recently resurfaced, and completely fenced for added privacy.  A light and bright kitchen, with top of the line newer appliances and granite countertops will be the delight of any chef.  Even a cozy breakfast nook compliments this updated modern kitchen.  Off of the kitchen is a large Laundry room equipped with a sink and cabinets for added storage.  The large dining room is perfect for growing families, has sliders leading out to the pool deck.",370000,379900,6,7th,8914,correct
FX-10231810,3,"WATCH THE VIRTUAL TOUR. Amazing and Affordable in Coral Pointe @ Winston Park. A stunning home in a wonderful community in the heart of North Coconut Creek. This home is conveniently situated close by the neighborhood pool with plenty of parking and extra privacy. Light, bright and move in ready with a new S tile roof in 2017, a new AC with a whole house air purifier in 2018, a brick paver driveway and back patio, a gorgeous remodeled kitchen in 2015 that includes stainless steel appliances and a center cooking island, plantation shutters, Nest thermostat, a huge 2nd floor master bedroom, new wood laminate flooring on the 2nd floor in 2015 (no carpeting in this house), even the big flat screen TV in the living room stays with the house. If you are in the market, do not wait on this one.",370000,375000,4,56th,4284,correct
RX-10628247,4,"Contemporary 3 bed/ 2.5 bath home featuring a one of a kind lot located within the highly sought after private gated community of Coco Bay at Winston Park in Coconut Creek. This two-story model sits on a unique corner lot with no neighbors on one side overlooking a large grassy knoll with a 2-car garage, fenced-in backyard with newer white vinyl fence, portico-style patio perfect for play area and entertaining. This home's interior boasts an open floor plan showcasing volume ceilings, ceramic tile with fresh grout color sealing done on first floor and updated laminate flooring on second floor, total kitchen remodel completed in 2019 with quartz countertops, stone backsplash, stainless steel appliances and premium wood cabinetry. Other notable features buyers will love include:",370000,365000,4,36th,6263,under
FX-10236970,3,"Incredible deal in Coral Springs! This home features 3 bedrooms with split floor plan, large family room, 2 baths, huge enclosed sunroom with AC access. Kitchen has newer appliances and overlooks the beautiful and inviting pool. Hurricane Impact windows throughout. 4 yr old AC. Immense backyard on the lake perfect for entertaining and play area! This house is on a quarter acre lot and provides a serene and private lifestyle! No HOA which allows true ownership and low upkeep. No rental restrictions! This will not last!",370000,375000,2,108th,3851,correct
RX-10637593,4,"This charming east Boca Raton ranch-style home features all of what you need and want - in a tidy package. Full renovation was completed in 2014 including new roof, impact windows and doors, new ceramic flooring throughout, kitchens and baths, all new appliances, new A/C and a decorative paver driveway. Air conditioned bonus room could be used as nursery or it can easily be converted into a 3rd bedroom if desired. Property is on a corner lot with a large fenced backyard. Plenty of room to add a pool! Only 1.4 miles to the beach, walking distance to shopping, restaurants, and convenient to I-95, Town Center Mall and the best of Boca Raton. Excellent opportunity to own an income producing property or make this home for yourself.",370000,350000,4,28th,499,under
RX-10607126,4,"Discover the elegant style and casual comfort of this 3 bedroom, 2 bath home located in Capistara.  Ideal 1,888 SqFt floorplan with a formal living room, dining room, family room and a covered patio. Bright, open kitchen with granite countertops, glass tiled backsplash, stainless steel appliances, new dishwasher, high hat lighting and a snack bar.  Luxurious master retreat features a walk-in closet, double sinks, a soaking tub and a walk-in shower. This charming home also features neutral tile laid on the diagonal, crown molding, plantation shutters, USB ports, a marble wall in family room, remote controlled blinds, designer lights, fans and an abundance of natural light. Enjoy your tropical paradise on the covered patio overlooking your private, fenced yard with lush tropical landscaping.",372000,379900,98,Capital,4789,correct
FX-10234619,4,"Stunning 4 bedroom 2.5 bath 2 car garage single family home located in private, gated Borgata community. This property is move in ready! Open floorplan with vaulted ceilings, high-hat lighting, separate family & living rooms, and large eat in kitchen. Upgrades include granite counter tops, stainless steel appliances, tiled flooring downstairs, and pergo-wood flooring upstairs. Large master with walk in closet, his & hers bathroom vanity, and Roman tub. Hurricane shutters for all windows convey. Large backyard includes patio along the full length of the house. Home sits directly across from the clubhouse with exercise room, community swimming pool, and kid's playground. --No pet or rental restrictions-- Come see this property before it is gone!",372500,399900,9,Rialto,1172,over
FX-10208619,3,"Beautiful lake & golf course view home in the Highlands at Carolina. Spacious floor plan, extra high ceiling, split bedrooms, open kitchen. Upgraded bathrooms, kitchen with granite counter tops and stainless steel appliances. Hurricane shutters thru out. Fenced backyard with pool and spa. Low HOA dues include monthly lawn maintenance, annual tree trimming, fertilize, etc . Best deal in town!",373890,389000,164,Highlands,7765,correct
RX-10614295,4,"Perfecty located gated neighborhood with A rated schools, shopping and restaurant ammenities. Very well maintained and gorgeously updated three bedroom, two bathroom, two car garage home in the sought after Windchime Lakes, The Estates of Rainbow Lakes! Beautiful barrel tile roof installed in 2017 with impact skylights, hurricane impact double front doors and insulated garage impact door with panels for the rest of the home for maximum insurance discount. Formal dining room and living room and large family room adjacent from the kitchen.Crown molding throughout. Fully renovated guest and master bathroom in 2020, screened lanai with custom bar, Lovely private back yard with stunning landscaping! Newer oversized washer and dryer and kitchen appliances, AC 2017, new upgraded garage door opene",373900,374900,43,Windlass,6243,under
RX-10597461,3,"Immaculate 3 bed, 2 bath home on one level features high vaulted ceilings throughout. The open floor plan is ideal for entertaining with a great room, dining area and screen enclosed patio with a very zen twist where you can relax and admire your mango, banana & coconut tree in your very private backyard with its lush tropical landscaping. Enjoy access to your screened in patio from your spacious master bedroom. Master bath features his and hers vanities, a jetted spacious tub as well as a walk in shower. This is a very rare opportunity in Gateway Palms, don't miss out on this beautiful & serene property surrounded by palm trees, fruit trees & a gorgeous lake. The community features first class amenities that include a resort style pool, tennis, basketball & playground. A+Schools",375000,379000,64,Canary Island,7990,correct
RX-10606516,2,"Perfect starter or retirement home. Lowest priced home in the community. Quiet street.  Convenient location.  Oversized lot with beautiful large screened 15 x 30 pool and expanded patio area with porch.  Fenced yard, large Mango tree.  Vaulted ceilings. Neutral tile set of diagonal. New AC system.  '' A'' rated Calusa Elementary, Omni Middle and Spanish River High schools.  Low HOA fees.  Community features park and playground plus lake with dock.  Pheasant Walk is conveniently located to shopping, restaurants, and Boca Raton's office park. A great place to call home.",375000,390000,95,Weeping Willow,17594,correct
RX-10608693,5,"Completely renovated 3 Bedroom, 2 Bathroom single-family home located in the neighborhood of Sabal Lakes, a tucked away gem of Delray Beach. Natural light drapes the expansive open floor plan and reflects beautifully off the 24x48 polished porcelain floors throughout. Brand new white shaker cabinetry, quartz countertops and bright painted walls create a comfortable and neutral space. Brand new kitchen appliance package, plumbing package, entry door, garage door, paint, millwork, and blinds are just a few of the renovated details that bring this home to life. Sitting on a quiet water front lot with a huge side-yard, back-yard that can be fenced in and brand a new screened in patio, perfect for entertaining or relaxing.",375000,385000,69,Lancewood,3752,correct
RX-10612881,4,"UPGRADED BOCA SQUARE HOME JUST STEPS AWAY FROM ADDISON MIZNER ELEMENTARY SCHOOL. OPEN FLOOR PLAN WITH HARD WOOD FLOORS THROUGHOUT. REDONE KITCHEN WITH GRANITE COUNTER TOPS, CHERRY WOOD CABINETS AND STAINLESS STEEL APPLIANCES. REDONE BATHROOMS, REPLACED WINDOWS AND FRENCH DOORS THAT LEAD OUT TO A WOOD DECK AND LARGE PRIVATE BACKYARD. BRICK PAVERED DOUBLEWIDE DRIVEWAY AND WALKWAYS WITH A SIDE AREA FOR SMALL BOAT OR JET SKI PARKING.  HOME HAS COMPLETE HURRICANE ACCORDION SHUTTER PROTECTION. ROOF WAS REPLACED IN 2016.",375000,385000,60,4th,1385,correct
AX-10837443,3,"Renovated 3 Bdrm and 2 Bathroom home. New Inground Pool, New A/C, Spacious open living area + Florida room, From walking distance to Boca Town Center Mall, Close to I-95, food shopping and restaurants.",375000,385000,106,Pinehurst,105,correct
AX-10841764,3,"New Listing!Beautiful One Story Home Located on Interior Lakefront Lot + Cul-de-Sac Location perfect for any Family with A+Schools in Coconut Creek. Updated Kitchen with Tumble Marble Back-Splash with Stainless Steel Appliances and Granite Counters and Breakfast Bar which opens to Breakfast Area & Family Room w/Lake Views.Custom Crown Moldings throughout all Living Areas, Large Extended Screened Patio, Updated Master Bath with Large Walk-in Shower & Updated Vanities for His & Her. Master Bedroom overlooks lake w a large walk-in closet. Updated Guest Bathroom,Accordion shutters,Tiled garage with work bench, pull down attic for extra storage,4 Night Owl Security Cameras.Great location easy access to Boca Raton+all Major Highways, Close to Promenade for shopping+dining. Low Maintenance Fees.",375000,399000,61,Pebblebrook,3714,over
RX-10614450,3,"A MUST SEE!! This 3 bed, 2 bath canal-front home will have you feeling relaxed and happy. Entertain guests on the patio by the heated pool and enjoy stunning views of the canal. The upgraded kitchen boasts new backsplash and granite countertops, and opens into the spacious family/living rooms with a view of the pool. Master suite has tons of closet space and upgraded granite countertops in the bathroom. New A/C, full hurricane protection and alarm/video surveillance wired for ADT Security are included. All right down the street from shopping, dining and recreation. A prime location!!",375000,365000,32,Gable,10921,under
FX-10226091,4,"Beautifully Updated 3 BR / 2 BA home with 2 car garage in Lighthouse Point. The open floorplan & beautiful updates greet you as you walk in the door. Large tile flooring throughout main living area & wood plank tile flooring in the bedrooms. The large kitchen is an entertainer's dream w/ granite counters, Stainless steel appliances, double oven, gas & electric stove tops, lots of cabinet space and pull out cabinets. The luxurious master bedroom offers 2 huge walk-in closets with built-ins, updated master bathroom w/ floating double vanity, travertine tile, wainscoting on the walls & large tile walk in shower with seamless shower. Enjoy the beautiful neighborhood of Lighthouse Point from your large covered front porch or back patio with lush landscaping. Steps from waterfront DeGroff Park.",375000,399000,26,53rd,2601,
AX-10848719,3,"Updated 4 bedroom, 2 bathroom Ranch-style home for sale in Paradise Palms. This home has an open layout, plenty of natural light throughout, and a large Florida Room. The kitchen has granite countertops, stainless-steel appliances, and fresh paint. The master bedroom has wood flooring and a walk-in closet, and the master bathroom is shower only with solid-surface countertops. Large fully-fenced backyard perfect for entertaining. Swing by and check out this home today!",375000,390000,19,Conference,498,
AX-10859708,3,"Now is your chance to purchase a beautifully updated home in the sought after Forest Hills neighborhood in the heart of Coral Springs! This home has it all. Any chef will love the updated kitchen with granite countertops, wood cabinets, and stainless steel appliances. The Master has a large walk-in closet and all living areas have laminate wood floors. Enjoy sunny days by the pool and the fenced-in yard has plenty of room for the kids and pets. Best of all there is no HOA. Close to shopping, restaurants, schools, and highways. Do not miss out...this one will not last!",375000,374900,17,84th,2837,
FX-10229482,3,"Beautiful Upgraded 4 Bedrooms 2.5 Baths and 2 Car Garage single family home located in the heart of Coconut Creek. Larger corner Lot, very spacious floor plan. Granite counter top kitchen with stainless steel appliances. Recently remodeled Master shower has a huge roman tub for a relaxing time. Your personal touch awaits, great quiet neighborhood, good schools and great shopping minutes away. Private backyard area for entertainment. Community Pool. Low HOA fee. Minutes to shopping center, restaurant, highway. All A schools. VA FHA Welcome!",375000,385000,69,42nd,5501,